Product_title,Product_image,Packsize,Price,Price per unit
Essential Health Meal Replacement Bar 55g,https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_ALN3571_SEP_SSV_DIGITAL__B1__1x1_228x128_17_1eb47281b1.jpg,ea,$2.49,$4.53 per 100g
International Cuisine Supreme Family Pizza 500g,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_22_122e481418.jpg,,$2.99,59c per 100g
International Cuisine Beef Lasagne 2kg,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_ALN3510_Q3_FREEZER_1x1_228x128__b8af1468ed.jpg,,$8.49,43c per 100g
Orchard & Vine Blueberries 500g,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALN2364_FROZEN_FOOD_1x1_228x128_3_97631fd247.jpg,,$4.49,$8.98 per kg
Kenny’s Frozen Dessert 475ml,https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN2853_FROZEN_FOOD_1x1_228x128_8_4f548ce5ec.jpg,475ml,$4.99,$1.05 per 100ml
Urban Eats Punjabi Samosa 6pk/500g,https://www.aldi.com.au/fileadmin/_processed_/c/c/csm_ALN3478_NEW__B4__1x1_228x128_6_7273eb3f1a.jpg,6pk,$4.99,$1.00 per 100g
Emporium Selection Ricotta in a Basket 500g,https://www.aldi.com.au/fileadmin/_processed_/c/2/csm_ALN3478_NEW__B4__1x1_228x128_7_c20f062f5b.jpg,,$4.99,$9.98 per kg
Urban Eats Dumplings Family Pack 20pk/625g,https://www.aldi.com.au/fileadmin/_processed_/b/9/csm_ALN3478-2_NEW__B2__1x1_228x128__bfd0766859.jpg,,$9.99,$1.60 per 100g
Urban Eats Bao Buns 8pk/256g,https://www.aldi.com.au/fileadmin/_processed_/5/8/csm_ALN3478-2_NEW__B2__1x1_228x128_2_0226d51210.jpg,,$3.69,$1.44 per 100g
Forresters Roasted & Salted Peanuts 750g,https://www.aldi.com.au/fileadmin/_processed_/f/7/csm_ALN3478-2_NEW__B2__1x1_228x128_4_160733d980.jpg,,$2.99,40c per 100g
Deli Originals Fresh Garlic Dip 200g,https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_ALN3478-2_NEW__B3__1x1_228x128__2a8e95d82a.jpg,,$2.79,$1.40 per 100g
